"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Muc15",115.88622456447,-1.53009794260165,0.341912294483739,-4.47511823145165,7.63690410843045e-06,2.85917775140739e-05
"Thbs1",16513.2953424615,1.87187148011034,0.18886704922712,9.91105376914818,3.72694312054342e-23,5.40101265337768e-22
"Fsip1",256.9188212154,2.10587640549569,0.176320576361527,11.9434523692675,7.02457498983375e-33,1.57091239504794e-31
"Ppp1r14d",369.689455753436,1.97880168413118,0.163182424689397,12.1263162249099,7.66192015518995e-34,1.78516800142937e-32
"Dll4",87.2549078600808,1.67304593197738,0.304844476554679,5.48819499990937,4.06061660766264e-08,2.00009657095884e-07
"Exd1",59.8668718212929,1.74739990944751,0.377068235841911,4.63417425110325,3.58365046384613e-06,1.40430506312072e-05
"Itpka",220.048576347618,3.54178016695521,0.268856538147306,13.1734946502014,1.24689718097008e-39,3.63146721620512e-38
"Pla2g4f",125.22508171743,1.80714389424708,0.309993544918388,5.82961782227706,5.5554460642803e-09,3.00097927584487e-08
"Map1a",1095.36650864306,1.72741068960751,0.11509621766046,15.008405356147,6.46841485922129e-51,2.88449075680646e-49
"Duox1",160.790747826331,-1.60335468383427,0.24771117415306,-6.47267806676965,9.6280950037754e-11,6.25555606211572e-10
"Fbn1",1141.71932515204,-1.59344568112753,0.0974325056688562,-16.3543539210946,4.04980808015841e-60,2.46398849508585e-58
"Hdc",3224.4824243754,1.50636200644959,0.110952629582749,13.5766228535046,5.51094200040989e-42,1.76209439110978e-40
"5330413P13Rik",265.960192385888,3.33990449550626,0.244043969320748,13.6856669919043,1.23667128494432e-42,4.04895339218806e-41
"Ankef1",202.914588628229,1.64298914746262,0.216002375283605,7.60634759365689,2.81950358404268e-14,2.38981950710622e-13
"Dzank1",1190.30582998462,2.55025276355543,0.116101670641939,21.965685329546,6.13251029623487e-107,1.9259750033826e-104
"Cfap61",1133.52377887118,2.43474285999032,0.237780875875111,10.2394393621004,1.31999030629468e-24,2.08369898350803e-23
"Thbd",238.50821779975,-2.34404223137846,0.208529532160796,-11.2408166224196,2.56993941199913e-29,4.93244565562233e-28
"6820408C15Rik",1649.2095549987,2.56409746757256,0.229613601322165,11.1670103722424,5.91379480030912e-29,1.12071258838645e-27
"Ttll9",308.267452143558,2.03545300148944,0.197042835572582,10.3300025883949,5.15591935981365e-25,8.29584112840252e-24
"Dnmt3bos",10.0856088839059,-2.19171067491986,0.889094427323287,-2.46510450135002,0.013697329659884,0.027839257523497
"Necab3",59.6003873770798,1.93393400809874,0.440207592501183,4.39323183207827,1.11677924209942e-05,4.06268662557979e-05
"Fer1l4",84.6838028206934,2.39615488807246,0.346382935193544,6.9176470449781,4.59206646028493e-12,3.31298966707451e-11
"Lbp",4396.69153472134,1.54524384078405,0.0818893722705081,18.8698948097879,2.01699580561394e-79,2.29631916414896e-77
"Snhg11",75.2875682152762,3.97503145494478,0.381579037144088,10.4173213620322,2.06692549351804e-25,3.37995172106519e-24
"Adig",255.008041224546,2.08679226645958,0.450510831313389,4.63205792494687,3.62048818392397e-06,1.41763148587831e-05
"Mafb",340.804579436191,-1.67452043273515,0.205689553675981,-8.14100863563052,3.91998429573162e-16,3.77625153822147e-15
"Gtsf1l",136.799809932019,2.11343641554447,0.365839681895625,5.77694689814277,7.60682799394291e-09,4.059496132563e-08
"Ada",44.8786521404876,-2.01022170564746,0.520625979202266,-3.8611628807453,0.000112848639061758,0.000350390361119854
"Slpi",484.010957589667,1.86485703243919,0.181429122158639,10.2787083476521,8.78976372369924e-25,1.39780496550002e-23
"Wfdc13",191.681992975171,3.30903374052899,0.283853711843803,11.6575320401301,2.10042485711375e-31,4.39626528589212e-30
"Wfdc3",161.555988385265,2.39894106006622,0.265352946130409,9.04056689420453,1.55861398124244e-19,1.86191183705178e-18
"Slc2a10",79.5607835455575,2.14939972930384,0.349540935371927,6.14920746554844,7.78710664392232e-10,4.61271732932064e-09
"Gm14321",130.917791597451,1.68494671993262,0.272182292339164,6.19050822686517,5.99705374606584e-10,3.59775344095319e-09
"9230111E07Rik",97.6812897275419,1.58897739786012,0.317900864169649,4.9983424927469,5.78252117328047e-07,2.4864013788858e-06
"Bcas1",1036.55690749792,1.75717106222213,0.114971351379993,15.2835557826444,9.84207193341928e-53,4.69544942906111e-51
"Cdh26",1580.75406250996,2.7537261527081,0.368972913561636,7.46322033811866,8.44329763764439e-14,6.90347534812404e-13
"Col20a1",238.585867449195,1.51217893345935,0.230502943615115,6.56034543309056,5.36832739476872e-11,3.55710864588114e-10
"Fndc11",32.720372595515,2.40771675976439,0.557094794707037,4.32191573613706,1.54680265984588e-05,5.53460723146761e-05
"Zbtb46",54.5843991661664,1.64525487331864,0.439512085149537,3.7433666306556,0.000181570996049584,0.000545293550885921
"Uckl1os",608.684225476942,1.86145095737947,0.148148555582084,12.5647594069732,3.29876976845099e-36,8.35985026648928e-35
"Hnf4g",34.9783722767902,3.39463738708564,0.516832516353192,6.56815753590437,5.09416322307273e-11,3.38439809532878e-10
"Pkia",516.535666225392,1.70827274468981,0.176498649189365,9.67867319401983,3.71505836827486e-22,5.08006343570833e-21
"Car2",119.643083666795,2.64142277566383,0.296901412276054,8.89663257380495,5.75666878722266e-19,6.65470911802939e-18
"Cyp7b1",77.9428875474628,-2.00612499501729,0.429709211756423,-4.66856408969526,3.03312162467745e-06,1.20395540875998e-05
"Tmem212",1812.0029857187,2.6135490250043,0.213175212486674,12.2600981348508,1.48320161335021e-34,3.5157024992787e-33
"Lrrc34",836.56759387619,2.29982055277147,0.156777911702025,14.6692893648344,1.01401471734666e-48,4.23294810341265e-47
"Ccdc39",1921.0613866353,1.964632371572,0.0993452534779097,19.7758051119056,4.81086901929816e-87,7.45337521876421e-85
